sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
1873,315,736,21,2368,11848,1485,65703,18938,473993,1178,8640,22735,7277.17
1995,1383,1950,106,1556,6167,1900,53411,95638,453979,3269,2158,9153,7599.18
3056,1233,745,106,1651,3330,1979,84501,64578,449826,301,12249,19420,7384.2
1851,1203,367,60,1350,9460,30,43400,102442,353446,2222,16651,6712,6984.29
973,443,720,67,3049,13879,469,59571,89645,457995,1494,8185,13460,7345.08
4060,1359,387,40,2504,2177,1526,89397,98252,451686,3580,9415,27408,7156.74
2964,1475,766,106,2867,14526,1835,76258,27553,410387,2154,8169,22956,7062.14
1885,1536,178,69,2322,7656,24,61633,63218,49247,848,16110,30259,7056.65
3332,1787,276,107,1461,8807,177,122708,87499,493792,3307,11152,20240,7999.47
1743,1526,307,23,2690,4334,145,95894,79049,380667,2891,3537,10120,7282.08
1666,1273,303,56,2665,11258,867,74511,53731,292462,987,10241,22468,7745.24
3221,340,248,92,2920,6272,137,44188,72751,144095,2530,11516,7317,7579.19
3663,824,1842,117,2781,9122,1224,24015,33121,130494,3953,19392,28273,7514.23
2258,1014,1779,106,1485,13581,1547,48861,15260,133433,2515,19943,12863,8152.69
3915,1051,1481,91,1336,15826,489,57883,98389,313062,305,5206,28187,7341.84
3829,1695,616,98,1394,9300,923,57251,21333,242157,3337,9557,19794,6738.65
3011,737,692,118,2462,2119,801,116174,126134,167745,1977,11787,11595,7474.51
555,786,2033,110,1920,3952,74,26259,78627,282830,3286,18158,21509,7689.87
993,1884,913,107,1598,10593,267,43679,89117,88247,2506,17823,10722,7856.95
3343,492,1919,85,2074,6814,244,130006,67212,327697,1065,4252,9175,7531.92
1187,1933,158,44,2799,10783,581,45831,67781,293432,2036,13890,5781,7084.19
3370,1337,1298,79,1695,3868,171,55901,96406,458492,474,13510,8557,7847.59
534,1078,1242,87,2903,4317,181,90479,34940,123468,3905,6432,31005,7904.15
1988,1981,915,64,1953,2775,1555,83308,93427,347389,2719,8061,5008,7129.41
1975,782,671,102,2357,3244,1986,59487,56791,308960,1823,4014,9592,7665.58
1743,367,621,23,2531,3874,1864,88284,62189,519011,1876,8484,14879,7697.07
385,2038,235,13,2779,4940,1523,82569,112175,218141,1704,16644,14050,6890.31
4057,1848,315,44,2827,7628,287,52826,108176,169038,783,3908,12216,7358.95
2950,248,736,61,1163,2468,1443,44522,52741,432588,3887,16792,15948,6961.87
2844,1708,1827,8,1895,6706,897,105098,43653,429373,3969,9573,27031,7840.33
1049,1660,501,96,2940,2203,428,118851,120748,251967,1002,11204,17255,6779.84
1231,957,991,57,2114,13017,1901,126142,2616,299971,2165,2456,17148,6866.66
3308,1276,489,34,2989,14597,1941,16328,50097,179486,3193,19943,14943,7260.05
2378,1406,1702,75,1924,14413,236,128402,89015,48152,559,12383,9086,7331.69
3219,631,404,103,2777,13187,1047,76141,96293,63865,676,3133,29121,7113.1
3732,1427,437,32,2458,3323,642,77991,56909,421033,2762,8971,12604,6882.92
137,731,2030,23,1622,15876,864,89696,5406,489993,2005,16366,27258,8054.24
1702,390,733,93,1623,6015,1113,48500,60156,436868,1663,12939,27907,6714.94
312,386,438,121,1822,6634,297,55444,114594,45071,1370,18861,22220,7279.38
4025,942,224,68,1452,11133,905,43719,19312,341936,960,11296,31822,7788.09
147,1875,600,29,2172,9665,1570,60576,95070,447853,285,11904,12000,7372.57
677,467,1129,98,1721,2100,1648,89877,122199,94784,1231,3330,20724,7184.18
3384,879,432,80,2351,14001,103,85415,9836,34465,3936,9031,11995,7266.5
3939,1362,1841,108,2735,13660,1519,12106,70409,486483,1096,11160,12730,7220.25
1521,1402,206,85,2923,13823,1862,76039,131056,514528,2465,18871,30041,7188.62
2939,575,1619,68,2173,16232,1049,97904,35216,345689,2298,17038,22164,7488.91
3296,560,2028,116,2297,2368,31,88429,102027,285399,1078,10552,10976,7666.25
1057,1769,229,76,1574,2850,1318,46901,88265,352512,1079,15975,16754,7591.4
2934,854,641,80,2604,5025,1719,94875,64554,254963,2331,13279,17862,6965.36
2517,1932,2027,120,1046,16284,1952,119736,117272,451879,455,1325,28397,7476.9
225,529,1657,106,1073,2276,1930,100913,15653,10210,2610,1911,15763,7546.47
2161,1259,911,67,1251,15259,371,92117,56678,19669,1931,13533,23925,7744.18
1424,397,1532,49,2486,14679,467,33003,57843,62571,1578,5240,17014,7049.61
3681,362,1640,75,1128,14241,1942,82598,93638,137418,911,6894,11932,6691.94
2250,1699,760,68,2736,3601,643,114182,63596,436905,2337,8332,21877,6773.7
3509,648,626,111,1371,3067,1103,42816,10231,215688,139,2960,30182,7188.25
1335,1867,1366,14,2420,6825,278,19149,112701,412252,777,17687,26618,7514.02
370,152,1560,62,2927,14358,610,75812,64652,205651,3999,13798,15408,7131.04
3474,769,908,102,2755,6632,1287,115226,30564,501481,3720,11429,9574,7683.07
2919,533,482,118,1812,3148,913,112483,91366,477266,250,12182,31564,7451.31
3498,434,132,30,2142,15183,170,127035,80631,360564,402,19814,18757,7896.34
1459,1546,179,106,3029,11199,1802,10732,64194,14876,1152,2188,16913,7429.32
3357,221,1274,97,1918,8623,1540,65445,97380,422663,2154,6810,22309,7437.51
2183,861,1748,59,2942,9613,1499,88669,119401,235542,1092,18363,31143,7127.87
2954,1893,599,107,2264,6736,959,82401,101442,76294,364,7619,32534,7416.89
2519,1580,649,34,1434,4514,1634,129858,46443,86326,2089,11619,5757,7986.36
3539,1836,1397,100,1415,8929,1724,44374,9599,160736,299,9682,10521,7820.67
329,730,1458,91,2849,12134,399,108453,111363,25041,4011,6721,21378,7926.11
2624,676,1236,87,2691,15984,1848,72943,18531,188132,74,16505,27898,6743.06
1269,1694,1672,53,2109,10007,1254,17116,14333,118862,1730,17748,9827,7277.43
