num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
3,15,86,10,12,13,16,41,13,20,lz4,1,28.28,0.035360679
3,22,39,20,10,6,11,48,37,80,lz4,1,28.31,0.035323207
7,15,68,10,1,1,28,42,37,89,lz4,1,15.42,0.064850843
11,1,23,20,5,13,19,35,61,92,gzip,1,15.06,0.066401062
4,24,8,4,9,1,17,19,54,69,none,1,31.82,0.031426776
19,3,45,9,9,2,13,41,3,78,snappy,1,15.87,0.063011972
19,10,27,3,7,9,15,33,49,9,lz4,1,30.5,0.032786885
6,23,24,15,4,14,7,16,12,76,gzip,1,13.91,0.071890726
8,20,11,11,17,5,8,44,59,26,snappy,1,29.71,0.033658701
13,22,48,19,15,13,2,35,13,57,gzip,1,14.86,0.067294751
3,5,22,2,15,17,30,27,45,75,lz4,1,30.53,0.032754668
8,3,29,3,19,15,5,25,41,82,gzip,1,14.82,0.067476383
12,12,48,10,18,18,12,35,52,61,gzip,1,13.84,0.072254335
7,12,84,2,5,10,22,7,40,72,none,1,28.15,0.035523979
13,12,47,20,12,11,22,27,3,49,gzip,1,15.96,0.062656642
16,3,52,13,19,20,3,5,53,52,lz4,1,30.76,0.032509753
3,6,53,16,15,17,25,18,45,61,lz4,1,29.25,0.034188034
9,10,7,15,14,5,10,20,52,35,snappy,1,28.91,0.034590107
20,14,73,10,10,1,9,29,29,96,gzip,1,13.89,0.07199424
13,10,88,18,14,11,24,48,5,20,none,1,21.41,0.046707146
10,3,48,4,19,19,29,43,62,4,none,1,30.62,0.032658393
20,22,28,10,7,17,17,5,10,24,gzip,1,15.56,0.064267352
12,4,24,15,9,15,17,44,47,16,lz4,1,29.32,0.034106412
10,8,66,2,16,14,3,34,3,49,snappy,1,15.59,0.064143682
11,19,6,8,4,18,2,39,53,12,snappy,1,24.41,0.040966817
15,4,60,16,2,8,18,23,2,55,lz4,1,13.33,0.075018755
20,1,63,15,20,1,27,40,24,100,lz4,1,27.94,0.035790981
16,4,18,12,4,9,18,21,49,13,lz4,1,24,0.041666667
2,1,44,3,13,12,17,43,9,93,snappy,1,21.24,0.047080979
19,21,62,8,1,17,25,10,38,88,none,1,15.61,0.064061499
8,18,44,5,11,19,4,6,55,87,gzip,1,14.32,0.069832402
3,8,78,2,17,1,19,16,29,14,snappy,1,31.93,0.031318509
18,19,100,1,18,15,2,37,54,22,snappy,1,30.17,0.033145509
12,4,1,12,6,17,5,28,55,40,gzip,1,10.97,0.091157703
1,12,24,20,17,1,17,11,13,70,none,1,21.48,0.046554935
7,15,34,7,18,9,26,12,22,12,lz4,1,26.07,0.038358266
16,15,97,11,9,12,11,18,64,65,gzip,1,13.44,0.074404762
