XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
64,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,75,10,200,TRUE,20000,TRUE,2048,8243.570015
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,500,25,500,50,50,FALSE,30000,FALSE,2048,7512.395452
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,75,100,200,TRUE,10000,TRUE,2048,8213.777242
64,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,75,10,100,FALSE,10000,FALSE,2048,7776.452901
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,1000,25,75,50,50,FALSE,20000,TRUE,2048,7473.469184
128,64,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,75,100,50,TRUE,10000,TRUE,1024,7769.20288
256,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,500,50,200,FALSE,30000,TRUE,1024,8025.682183
64,128,128,org.apache.coyote.http11.Http11Protocol,4096,500,100,250,50,50,TRUE,20000,FALSE,1024,7542.236525
64,128,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,250,10,50,FALSE,10000,FALSE,2048,7147.622224
128,64,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,75,50,50,FALSE,30000,FALSE,1024,7888.094236
64,128,128,org.apache.coyote.http11.Http11Protocol,4096,1000,50,500,100,50,FALSE,20000,FALSE,2048,6829.668078
256,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,100,75,100,100,TRUE,30000,TRUE,1024,7254.78816
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,100,200,TRUE,10000,FALSE,1024,6895.917617
256,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,250,50,200,TRUE,20000,FALSE,2048,7304.246202
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,75,10,100,TRUE,20000,FALSE,1024,7645.259939
256,64,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,250,10,100,FALSE,30000,FALSE,2048,7967.704239
128,64,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,500,50,200,TRUE,30000,FALSE,2048,6886.103842
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,100,500,50,50,FALSE,10000,TRUE,1024,6810.751907
256,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,500,100,50,TRUE,30000,TRUE,2048,8346.780925
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,100,50,TRUE,20000,TRUE,1024,7342.503304
256,64,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,500,10,100,TRUE,20000,TRUE,1024,7599.9392
128,256,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,50,250,100,50,TRUE,30000,TRUE,1024,7746.733461
64,128,128,org.apache.coyote.http11.Http11Protocol,4096,1000,50,250,100,50,TRUE,30000,FALSE,1024,7729.169887
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,200,100,75,10,100,FALSE,10000,TRUE,2048,7855.870954
256,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,75,100,50,FALSE,30000,FALSE,2048,7863.283707
128,256,256,org.apache.coyote.http11.Http11Protocol,4096,500,100,75,100,100,FALSE,20000,FALSE,1024,6042.052687
64,128,256,org.apache.coyote.http11.Http11Protocol,4096,1000,100,250,50,200,FALSE,30000,FALSE,1024,7044.237813
64,128,128,org.apache.coyote.http11.Http11Protocol,16384,500,100,500,50,200,FALSE,10000,TRUE,2048,6938.341274
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,200,100,500,50,50,FALSE,30000,TRUE,1024,7769.20288
256,64,512,org.apache.coyote.http11.Http11Protocol,8192,200,50,75,50,200,FALSE,10000,TRUE,1024,6256.517205
256,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,500,50,100,TRUE,20000,TRUE,1024,7935.248373
256,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,250,100,50,FALSE,20000,TRUE,2048,8427.439744
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,50,250,50,100,FALSE,10000,TRUE,2048,8546.521566
128,256,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,250,50,50,FALSE,10000,FALSE,1024,7791.398296
64,128,128,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,50,200,TRUE,30000,FALSE,1024,7479.804528
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,500,100,50,FALSE,20000,FALSE,1024,7898.478227
128,64,256,org.apache.coyote.http11.Http11Protocol,8192,200,50,75,100,200,FALSE,30000,TRUE,1024,6746.727837
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,1000,100,250,10,200,FALSE,10000,FALSE,1024,7422.435549
128,64,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,500,50,50,TRUE,20000,TRUE,1024,7486.897929
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,50,250,100,200,FALSE,30000,TRUE,2048,7421.701054
128,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,500,25,500,50,50,TRUE,20000,TRUE,2048,8678.546633
128,256,256,org.apache.coyote.http11.Http11Protocol,4096,200,100,500,10,200,FALSE,20000,FALSE,1024,6949.914284
64,128,128,org.apache.coyote.http11.Http11Protocol,4096,200,100,75,10,100,FALSE,10000,TRUE,1024,6664.297139
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,200,100,500,50,200,TRUE,30000,TRUE,1024,6451.612903
128,64,256,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,50,50,TRUE,30000,FALSE,2048,7762.769756
256,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,75,100,200,TRUE,20000,TRUE,1024,7406.310176
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,75,50,50,TRUE,10000,TRUE,1024,7649.9388
256,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,500,50,50,FALSE,30000,TRUE,1024,8125.236986
128,256,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,100,250,50,50,FALSE,30000,TRUE,1024,8137.579341
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,250,100,200,TRUE,30000,TRUE,1024,7469.003635
64,128,128,org.apache.coyote.http11.Http11AprProtocol,4096,500,25,500,50,100,TRUE,10000,FALSE,2048,7371.007371
64,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,100,75,100,100,TRUE,30000,FALSE,2048,7632.81091
256,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,75,50,100,FALSE,30000,FALSE,2048,8173.050727
64,128,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,250,100,50,FALSE,30000,TRUE,1024,9204.712813
