num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
19,12,92,4,19,14,23,23,42,70,snappy,1,29.97,0.0333667
17,18,62,19,6,3,18,6,27,78,snappy,1,28.57,0.03500175
14,23,36,0,0,15,11,34,32,39,snappy,1,15.29,0.065402224
9,7,49,12,18,5,13,33,39,7,snappy,1,29.21,0.034234851
7,15,40,4,11,10,17,47,28,0,snappy,1,16.57,0.06035003
19,2,29,14,12,9,10,26,13,66,snappy,1,22.54,0.044365572
13,21,4,2,19,17,12,43,56,81,snappy,1,30.25,0.033057851
11,3,84,16,3,7,6,9,40,62,snappy,1,24.22,0.041288192
18,23,17,0,2,14,24,44,43,4,snappy,1,22.54,0.044365572
19,13,58,9,15,1,7,21,27,19,snappy,1,29.4,0.034013605
16,11,95,15,19,13,23,5,47,45,snappy,1,28.68,0.034867503
10,20,33,18,18,10,8,10,33,61,snappy,1,21.06,0.047483381
12,17,88,5,17,11,27,27,2,37,lz4,1,14.1,0.070921986
11,9,12,4,10,7,9,35,35,12,gzip,1,14.7,0.068027211
5,5,15,7,4,18,19,31,60,79,snappy,1,25.02,0.039968026
0,6,57,17,19,12,29,32,5,2,lz4,1,15.97,0.062617408
19,10,10,0,8,2,15,0,48,48,snappy,1,20.35,0.049140049
1,4,48,4,13,6,10,1,3,47,lz4,1,11.54,0.086655113
3,23,41,13,5,4,21,46,63,95,none,1,28.15,0.035523979
2,19,34,6,1,10,0,8,7,6,snappy,1,15.89,0.062932662
4,14,13,10,9,16,25,41,16,90,lz4,1,27.9,0.035842294
15,16,47,1,7,7,23,16,26,14,snappy,1,19.88,0.050301811
11,23,7,11,14,8,1,36,9,11,lz4,1,23.04,0.043402778
8,8,14,0,6,19,22,10,29,89,gzip,1,12.91,0.077459334
19,0,85,12,19,0,5,3,51,54,snappy,1,27.23,0.036724201
7,17,32,19,18,14,2,19,1,99,snappy,1,14.14,0.070721358
17,23,69,14,0,3,14,40,8,8,lz4,1,14.42,0.069348128
6,22,51,16,12,9,20,18,4,97,none,1,19.01,0.052603893
9,12,0,15,3,15,9,15,32,77,snappy,1,23.62,0.042337003
0,5,43,6,4,18,6,22,55,88,gzip,1,11.02,0.090744102
19,1,71,13,5,12,24,25,23,24,lz4,1,26.74,0.037397158
1,10,62,4,13,10,23,4,52,67,snappy,1,26.58,0.037622272
2,17,53,10,7,16,9,14,18,80,lz4,1,25.33,0.039478879
3,6,56,1,1,6,8,20,59,10,snappy,1,19.26,0.05192108
4,23,1,11,14,4,19,24,27,28,none,1,29.45,0.033955857
11,19,23,0,9,7,12,7,31,91,snappy,1,24.5,0.040816327
8,14,73,3,16,8,7,11,61,76,lz4,1,22.58,0.04428698
