XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
128,512,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,100,250,10,50,FALSE,30000,FALSE,2048,8587.622374
128,256,256,org.apache.coyote.http11.Http11Protocol,16384,500,25,75,50,200,TRUE,20000,FALSE,2048,6335.797254
256,512,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,75,100,200,TRUE,20000,FALSE,2048,7819.831092
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,250,50,200,FALSE,20000,FALSE,2048,8602.397201
128,128,512,org.apache.coyote.http11.Http11Protocol,16384,500,25,250,50,200,FALSE,20000,TRUE,1024,7272.022107
512,128,512,org.apache.coyote.http11.Http11Protocol,4096,1000,100,500,10,50,FALSE,30000,FALSE,1024,1264.808803
256,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,250,50,100,TRUE,10000,TRUE,2048,6991.051454
512,512,512,org.apache.coyote.http11.Http11Protocol,8192,200,25,500,10,50,TRUE,10000,FALSE,1024,5989.219405
256,256,256,org.apache.coyote.http11.Http11Protocol,8192,200,25,250,100,200,TRUE,10000,FALSE,2048,6523.440898
256,512,512,org.apache.coyote.http11.Http11Protocol,8192,1000,25,500,100,50,TRUE,10000,TRUE,2048,6972.204146
256,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,50,100,TRUE,30000,TRUE,2048,1416.537604
512,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,500,50,100,TRUE,20000,FALSE,2048,1093.597352
256,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,75,50,100,TRUE,10000,TRUE,1024,7856.282407
128,128,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,100,50,FALSE,30000,FALSE,1024,5306.353474
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,75,100,200,FALSE,30000,FALSE,1024,7910.140801
128,256,256,org.apache.coyote.http11.Http11Protocol,16384,500,100,250,10,200,TRUE,20000,FALSE,1024,6681.514477
128,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,50,250,10,50,TRUE,30000,TRUE,1024,7780.082988
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,50,200,TRUE,30000,TRUE,2048,7787.757645
256,128,256,org.apache.coyote.http11.Http11Protocol,16384,1000,25,250,50,100,FALSE,30000,TRUE,1024,1265.043475
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,100,250,10,100,FALSE,20000,TRUE,2048,7885.19161
512,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,75,10,200,FALSE,30000,TRUE,2048,4003.5231
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,100,250,100,200,FALSE,10000,FALSE,2048,8046.346958
512,512,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,50,50,FALSE,10000,TRUE,1024,9071.117562
512,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,100,75,10,200,FALSE,30000,TRUE,2048,1262.913288
256,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,500,10,100,FALSE,20000,FALSE,2048,7825.950853
256,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,250,50,50,FALSE,30000,FALSE,2048,1264.137268
512,128,512,org.apache.coyote.http11.Http11Protocol,16384,500,100,250,100,50,FALSE,10000,FALSE,2048,1114.537281
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,50,100,FALSE,10000,FALSE,1024,8851.646406
256,512,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,500,100,100,FALSE,10000,TRUE,2048,8713.331397
256,128,256,org.apache.coyote.http11.Http11Protocol,8192,200,25,75,10,100,TRUE,30000,FALSE,1024,1356.361335
256,256,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,500,50,200,FALSE,10000,TRUE,2048,6416.014372
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,500,10,50,TRUE,20000,FALSE,1024,7629.704985
128,256,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,500,50,200,TRUE,30000,FALSE,2048,6456.61157
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,500,10,50,TRUE,10000,FALSE,1024,7574.992425
512,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,500,10,50,FALSE,30000,FALSE,2048,1407.697289
128,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,75,50,100,TRUE,20000,TRUE,2048,7627.377199
256,512,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,250,100,100,FALSE,30000,TRUE,1024,8951.482962
256,256,256,org.apache.coyote.http11.Http11Protocol,4096,1000,100,500,50,100,FALSE,30000,TRUE,1024,5505.597357
512,256,512,org.apache.coyote.http11.Http11Protocol,8192,200,25,250,10,200,FALSE,20000,FALSE,1024,2848.245481
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,250,100,200,TRUE,10000,TRUE,1024,7814.535035
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,500,10,200,FALSE,30000,FALSE,1024,8566.044201
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,200,50,500,100,200,TRUE,30000,TRUE,2048,6707.507937
512,512,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,500,100,50,FALSE,20000,TRUE,2048,8904.190906
128,128,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,100,500,50,100,TRUE,30000,FALSE,2048,5696.058328
128,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,1000,50,500,100,200,FALSE,10000,TRUE,1024,8877.840909
512,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,500,50,100,FALSE,30000,TRUE,2048,1351.193104
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,500,10,50,TRUE,20000,TRUE,1024,7559.340825
256,256,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,100,75,100,100,FALSE,30000,TRUE,2048,7062.479401
128,512,512,org.apache.coyote.http11.Http11Protocol,4096,500,25,500,10,200,FALSE,10000,FALSE,2048,6578.947368
256,512,512,org.apache.coyote.http11.Http11Protocol,4096,200,100,75,50,100,FALSE,20000,TRUE,1024,6394.679627
512,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,75,100,100,TRUE,10000,FALSE,2048,1350.98622
