Protocol, MaxNewSize,Xms, Xmx ,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount, enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,1000,100,250,50,50,FALSE,30000,TRUE,2048,8883.624519
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,200,25,250,100,100,TRUE,20000,TRUE,2048,8881.520516
org.apache.coyote.http11.Http11Protocol,128,64,128,4096,500,50,500,10,50,TRUE,30000,FALSE,1024,8878.891914
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,1000,100,250,50,50,FALSE,30000,TRUE,2048,8876.790153
org.apache.coyote.http11.Http11Protocol,64,128,512,16384,500,50,75,50,100,FALSE,20000,FALSE,2048,8875.739645
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,200,25,250,100,100,TRUE,20000,TRUE,2048,8874.16435
org.apache.coyote.http11.Http13NioProtocol,64,256,128,8192,1000,50,250,100,200,FALSE,20000,TRUE,2048,8872.064825
org.apache.coyote.http11.Http13NioProtocol,256,128,128,16384,1000,25,75,50,200,FALSE,10000,FALSE,1024,8861.058601
org.apache.coyote.http11.Http11Protocol,128,64,128,16384,500,100,500,100,50,TRUE,10000,TRUE,2048,8859.488512
org.apache.coyote.http11.Http11Protocol,64,128,512,8192,500,100,75,50,50,FALSE,20000,FALSE,1024,8857.395926
org.apache.coyote.http11.Http13NioProtocol,128,256,128,8192,200,50,500,100,100,FALSE,30000,TRUE,1024,8849.035455
org.apache.coyote.http11.Http11Protocol,256,256,256,8192,500,100,75,10,50,TRUE,30000,FALSE,1024,8833.922261
org.apache.coyote.http11.Http13NioProtocol,128,256,128,4096,1000,25,75,50,200,FALSE,20000,FALSE,2048,8827.683616
org.apache.coyote.http11.Http13NioProtocol,64,64,256,8192,500,50,500,50,100,TRUE,10000,FALSE,2048,8826.125331
org.apache.coyote.http11.Http13NioProtocol,64,64,256,8192,500,50,500,50,100,TRUE,10000,FALSE,2048,8826.125331
org.apache.coyote.http11.Http11AprProtocol,128,128,512,16384,200,100,75,10,50,FALSE,10000,FALSE,1024,8824.567596
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,1000,100,250,50,50,FALSE,30000,TRUE,2048,8791.466417
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,8785.802144
org.apache.coyote.http11.Http13NioProtocol,64,64,256,8192,500,50,500,50,100,TRUE,10000,FALSE,2048,8780.659135
