innodb_log_buffer_size,innodb_additional_mem_pool_size,max_allowed_packet numeric,innodb_buffer_pool_size,thread_cache_size,max_connect_errors,tmp_table_size,join_buffer_size,max_heap_table_size,innodb_autoextend_increment,table_open_cache,query_cache_limit,sort_buffer_size,QPS
14754,13726,14017,3173,41,1027,51715,235,9076,370797,1703,1443,1566,820160
15737,17566,5797,6791,65,1327,8078,710,10929,445066,1817,2851,3659,772700
16326,15136,14589,2654,10,643,48155,1752,56496,308142,307,1557,1999,754500
17165,9689,5889,4657,51,1144,85283,360,80726,235616,1196,2793,1850,794580
17920,1232,15743,2877,16,1273,65616,956,62385,187088,229,1658,3283,793120
18643,7034,11804,6310,113,1927,42390,813,24472,96032,1872,1763,221,768596
19583,8141,12978,7408,25,1529,60755,1372,29129,454610,1356,2144,621,840760
20186,4842,13047,5690,48,181,36453,1064,123153,257512,790,1991,1282,760700
20796,12553,12007,1075,124,1961,57011,1632,126459,322375,2028,2617,1514,803500
21459,6108,4889,47,20,585,54968,165,19643,164459,729,1024,2712,758900
22551,4038,7777,5401,96,1768,91544,1798,3291,264509,1546,1808,2149,827900
23255,1143,8511,3700,78,1637,87296,217,99254,154395,145,1580,2949,843280
23406,2414,3128,965,36,794,30957,1131,13938,324577,335,1283,2826,768800
24593,7903,9284,785,56,1430,61840,1539,114404,218679,1281,1985,919,780600
24961,12343,7112,7682,120,123,33943,1922,70831,37851,1504,1453,2387,756140
25823,19176,3636,4894,73,1369,81107,903,75094,280448,1608,1261,384,856880
26220,10153,15011,2299,29,1492,107700,555,87735,421437,1031,1776,2414,777020
27120,11753,5172,8010,33,280,12666,1577,93420,74992,576,1926,657,747260
28257,8762,10576,3539,25,1847,103393,1808,52777,511810,1741,1657,3403,803360
28704,5575,14361,607,89,479,122293,769,46286,345035,840,1836,2255,788220
29673,19797,15532,1235,105,384,125546,1876,107015,52730,1648,1203,1022,819980
30057,18231,11194,4369,68,1196,14665,562,33212,400074,1785,1586,4019,749780
31114,6857,1717,5016,125,1236,44954,698,120132,91204,1387,1081,1018,799440
31549,5360,8999,2792,111,853,17789,1471,5077,485944,452,1057,227,805420
4056,18703,6336,5300,15,1583,21787,1673,93002,122624,879,1941,3869,772320
4725,14349,10050,2215,82,837,97115,368,58484,176199,207,1923,2584,774020
4838,1550,2266,7012,118,689,91803,482,38383,286545,1073,1960,759,716180
5181,9284,6920,5987,108,61,73661,1037,110630,389779,640,1995,1696,819680
6219,885,8266,5921,87,533,78241,1223,78037,381286,468,1386,3702,772980
6949,16554,7663,1687,59,446,37467,1930,117063,114332,1923,1683,2625,803020
7377,3245,2988,4087,84,317,69565,1974,42404,69816,380,1458,3104,767700
8345,16124,12395,7863,98,702,118470,1417,49876,469505,904,1965,2025,800820
9437,15924,2758,6672,44,1685,105272,1316,85279,431998,1992,1168,3518,791360
9577,11221,4383,380,39,1063,100085,1488,29600,9015,1456,1283,501,747900
10747,2840,13479,1529,103,1864,120496,436,102838,229193,662,1358,3948,765080
10981,14612,2174,2024,75,975,73080,892,101888,29389,512,1315,3310,770360
12040,13094,11062,7321,54,18,25591,1154,66412,351515,1177,1154,1334,784300
12440,3882,9976,3413,92,210,115418,272,73133,494581,1242,1677,1751,753020
13283,17440,3519,6550,9,1717,110669,1278,21717,133414,944,1291,1218,770200
14443,10692,4372,4175,63,902,24391,641,40814,204118,1132,1198,3021,763240
14919,13918,14117,3104,42,1035,50465,248,8358,370708,1666,1441,1598,757000
15514,17536,5787,6782,67,1330,7314,716,13614,440381,1848,1883,3634,730960
16763,15373,14812,2541,10,636,47591,1721,58017,301672,310,1563,1983,739740
17048,9589,6003,4549,51,1133,84182,335,81646,242009,1224,1826,1865,827200
17955,1348,15854,2979,17,1261,65362,964,63851,196078,224,1720,3283,776440
18505,7472,11621,6195,113,1909,41983,810,25438,103608,1901,1792,203,758020
19524,8413,12965,7514,25,1508,59787,1328,28079,459486,1355,1773,598,777060
19989,4718,13356,5718,48,157,35773,1054,122161,250344,758,1940,1237,736980
20593,12666,12199,1131,124,1992,56156,1623,126975,314771,2030,1589,1493,807260
21620,6162,4861,126,19,595,52862,139,18552,167116,734,1024,2739,808200
22048,4181,8092,5337,96,1794,91058,1778,1055,269793,1542,1864,2209,810740
23062,1252,8868,3772,79,1607,86241,179,97261,151117,154,1527,2959,753780
23815,2446,3001,1023,35,772,30918,1092,14313,332879,332,1803,2811,768520
24202,7910,9428,778,58,1401,64299,1556,113814,217330,1304,1957,899,742080
25359,12313,7339,7763,120,108,33369,1930,67737,44535,1487,1488,2364,816740
26002,19285,3974,4776,71,1369,80730,928,75178,281659,1569,1249,357,798580
26732,10081,14895,2298,30,1487,109630,511,89804,420062,1037,1799,2468,784500
26925,11574,5170,8168,33,266,11195,1595,95028,73434,604,1934,661,782720
27746,8780,10665,3604,22,1829,100802,1831,52262,501934,1723,1672,3462,803160
28589,5824,14447,556,89,455,123393,792,47755,338032,807,1830,2219,769220
29661,19944,15326,1404,105,369,126190,1887,107515,52293,1635,1846,1029,773900
30038,18377,11259,4427,69,1197,15046,586,33727,405503,1774,1640,3956,754720
31019,6697,2677,4932,125,1243,45824,657,119069,87636,1380,1112,958,805680
31490,5481,9039,2674,110,865,17036,1457,4863,486276,449,1117,231,755340
4563,18668,6275,5252,15,1575,20217,1705,90159,120768,875,1718,3801,723230
4947,14392,10179,2210,81,836,97467,383,61315,173417,215,1467,2557,735520
4987,14867,1049,7042,118,700,91710,513,37046,295425,1056,1998,769,779040
5214,9118,6740,5985,120,102,75529,1036,112037,387341,617,1410,1693,768140
6575,1788,8633,5248,90,541,79203,1320,79943,378574,429,1193,3570,802880
7610,16659,7143,1842,56,450,38423,1913,118316,117793,1950,1569,2360,802720
7534,3127,2933,4177,82,305,69169,1987,45016,60432,379,1464,3247,778660
8148,16267,12575,8026,94,742,117928,1469,50206,474949,929,1906,2035,808620
9226,15941,2839,6784,47,1722,105696,1357,86284,426413,2056,1202,3631,746560
9760,11413,4740,313,36,1169,99750,1489,32983,19467,1447,1269,587,826000
11027,2573,13448,1586,100,1950,121904,507,103640,225331,735,1885,3955,750600
11323,14549,2437,2003,73,1016,72547,890,101059,22558,605,1377,3438,802530
12395,13369,11015,7326,59,104,25417,1173,65102,354493,1226,1173,1507,805320
13153,3901,9784,3433,83,225,115498,287,74502,487663,1331,1785,1798,721740
13267,17400,3590,6523,7,1750,110436,1357,21401,137219,960,1334,1203,812620
14626,10991,4310,4236,63,1010,24349,684,41006,205793,1187,1194,3151,785680
15201,13887,14134,3156,52,1064,52347,286,10991,373497,1714,1511,1630,761420
15737,17858,5655,6947,63,1350,8595,784,13074,443407,1885,1886,3653,757600
