num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,acks,T,1/T
8,21,86,19,6,18,16,24,58,97,gzip,1,13.1,0.076335878
11,22,70,17,5,8,17,16,60,42,none,1,23.54,0.042480884
4,7,25,17,3,17,18,14,43,17,lz4,1,20.51,0.048756704
18,12,68,7,14,11,18,16,11,9,gzip,1,15.79,0.063331222
10,19,83,2,16,18,19,35,45,95,none,1,25.53,0.039169604
18,14,74,11,13,10,20,42,63,93,gzip,1,12.04,0.083056478
10,1,90,4,7,4,21,32,18,60,gzip,1,12.33,0.081103001
4,13,17,10,9,12,21,4,6,84,snappy,1,16.54,0.060459492
9,16,39,10,2,4,22,30,20,57,none,1,16.83,0.059417706
16,18,61,2,5,15,22,3,48,11,none,1,22.97,0.043535046
14,10,78,14,7,1,23,40,30,48,lz4,1,21.25,0.047058824
15,2,47,12,12,9,24,27,25,47,lz4,1,25.56,0.039123631
19,6,15,19,8,3,25,7,47,2,snappy,1,24.28,0.041186161
13,20,82,16,11,16,26,46,19,35,lz4,1,19.39,0.051572976
19,22,37,4,17,11,26,13,28,20,gzip,1,11.25,0.088888889
11,8,31,4,7,5,27,6,43,23,lz4,1,23.59,0.042390844
8,5,11,8,16,7,28,38,26,3,snappy,1,21.99,0.045475216
2,11,35,13,10,14,28,17,34,78,gzip,1,14.48,0.069060773
17,12,65,19,1,15,29,20,8,89,lz4,1,13.15,0.076045627
5,14,29,1,17,6,1,19,35,39,none,1,24.74,0.040420372
7,16,7,15,12,17,1,32,2,25,none,1,14.76,0.067750678
5,15,89,9,19,6,2,8,21,40,snappy,1,22.15,0.045146727
3,4,42,5,3,18,3,11,5,52,snappy,1,13.26,0.075414781
13,17,23,9,13,14,4,20,55,70,lz4,1,21.25,0.047058824
12,9,52,18,10,12,5,34,12,80,snappy,1,21.54,0.046425255
6,17,43,15,14,11,5,30,15,28,lz4,1,19.9,0.050251256
14,23,95,14,18,1,6,22,38,66,lz4,1,22.81,0.043840421
3,4,10,3,6,9,7,47,51,73,snappy,1,21.62,0.046253469
15,3,75,7,18,19,7,44,38,63,snappy,1,23.71,0.042176297
9,21,60,17,19,2,8,9,40,5,none,1,23.11,0.043271311
6,14,1,11,14,2,9,12,53,75,none,1,26.43,0.037835793
19,20,57,2,9,8,9,44,52,30,none,1,23.86,0.041911148
16,8,48,7,11,13,10,2,33,92,gzip,1,10.8,0.092592593
14,5,53,6,3,5,11,2,9,50,gzip,1,15.19,0.065832785
1,2,4,5,15,19,12,41,13,67,gzip,1,13.27,0.07535795
5,6,20,15,4,3,13,28,2,32,none,1,14.81,0.067521945
2,9,92,1,16,10,14,36,61,86,lz4,1,24.37,0.041034058
1,19,23,12,9,6,14,25,31,58,gzip,1,14.12,0.07082153
12,10,97,8,2,7,16,39,24,18,snappy,1,15.56,0.064267352
7,21,87,18,6,18,16,23,58,99,gzip,1,13.86,0.072150072
11,22,72,16,5,8,17,15,59,44,none,1,21,0.047619048
4,7,26,17,3,17,17,14,44,16,lz4,1,18.23,0.054854635
18,12,70,7,14,11,19,16,10,8,gzip,1,14.35,0.069686411
10,18,84,2,16,18,19,36,45,97,none,1,24.86,0.040225261
17,14,73,11,13,10,20,43,63,94,gzip,1,12.71,0.078678206
10,1,91,4,7,3,20,33,17,60,gzip,1,12.18,0.082101806
3,13,17,10,9,12,21,4,6,82,snappy,1,15.39,0.064977258
8,16,38,10,2,4,22,31,19,56,none,1,18.09,0.05527916
16,18,61,2,5,15,23,3,49,10,none,1,18.5,0.054054054
14,11,79,14,6,1,23,39,30,48,lz4,1,23.29,0.042936883
15,1,48,11,12,9,24,27,25,46,lz4,1,22.2,0.045045045
19,6,13,19,8,3,25,7,46,0,snappy,1,22.95,0.043572985
13,20,81,16,11,16,26,46,18,35,lz4,1,23.12,0.043252595
19,23,36,4,17,11,26,12,29,22,gzip,1,10.32,0.096899225
11,8,32,5,8,5,27,5,43,23,lz4,1,24.13,0.041442188
8,5,10,8,16,7,28,37,26,3,snappy,1,24.54,0.040749796
2,11,34,13,10,14,28,17,34,78,gzip,1,14.6,0.068493151
17,12,65,19,1,16,29,22,8,89,lz4,1,12.52,0.079872204
5,13,28,1,17,6,1,18,35,39,none,1,25.9,0.038610039
7,16,7,15,12,17,1,32,1,25,none,1,14.97,0.066800267
5,15,87,9,19,6,2,8,22,41,snappy,1,20.61,0.048520136
13,17,21,9,13,14,4,20,55,71,lz4,1,25.7,0.038910506
12,9,50,18,10,13,5,34,13,81,snappy,1,13.71,0.07293946
7,18,43,16,15,12,5,29,15,28,lz4,1,20.12,0.049701789
14,23,95,13,18,1,6,22,39,67,lz4,1,23.48,0.042589438
3,4,9,3,6,9,7,46,50,73,snappy,1,17.9,0.055865922
16,3,76,7,18,19,8,43,37,64,snappy,1,24.8,0.040322581
9,22,59,17,19,2,8,9,41,6,none,1,21.13,0.047326077
6,14,1,10,14,2,9,11,53,77,none,1,23.91,0.041823505
18,20,57,3,9,8,10,45,52,31,none,1,19.64,0.050916497
16,8,50,7,11,13,10,1,33,91,gzip,1,14.36,0.069637883
15,5,53,6,3,5,11,2,9,50,gzip,1,14.39,0.069492703
1,2,5,6,15,19,12,41,14,69,gzip,1,14.96,0.06684492
9,2,63,13,1,15,12,26,56,13,snappy,1,11.22,0.08912656
1,9,93,1,16,10,14,37,61,87,lz4,1,22.12,0.045207957
1,19,23,12,8,6,14,24,32,58,gzip,1,14.47,0.0691085
12,10,98,8,2,7,15,38,23,19,snappy,1,16.75,0.059701493
7,21,86,19,6,18,16,23,59,98,gzip,1,10.94,0.091407678
11,22,70,16,4,8,17,15,59,42,none,1,19.61,0.050994391
4,7,26,17,3,17,17,14,44,15,lz4,1,19.46,0.051387461
18,12,68,7,13,11,18,16,10,8,gzip,1,15.17,0.065919578
17,15,72,11,13,10,20,42,63,94,gzip,1,13.65,0.073260073
10,1,92,4,7,4,20,33,17,61,gzip,1,13.07,0.076511094
8,16,38,10,2,4,22,31,20,57,none,1,14.46,0.069156293
16,18,61,2,5,15,22,3,49,11,none,1,13.06,0.076569678
14,11,78,14,6,1,24,40,29,48,lz4,1,20.91,0.047824008
15,1,46,11,12,9,24,27,24,45,lz4,1,17.36,0.057603687
13,20,82,16,11,16,26,46,18,36,lz4,1,22.99,0.043497173
11,8,33,5,7,5,27,6,42,23,lz4,1,19.09,0.052383447
2,11,34,13,10,14,28,18,34,77,gzip,1,11.33,0.088261253
